Company,Company_norm,Best_HDP2_topic0,Best_HDP2_topic1,Best_HDP2_topic2,Best_HDP2_topic3,Best_HDP2_topic4,Best_HDP2_topic5,Best_HDP2_topic6,Best_HDP2_topic7,Best_HDP2_topic8,Best_HDP2_topic9,Best_HDP2_topic10,Best_HDP2_topic11,Best_HDP2_topic12,Best_HDP2_topic13,Best_HDP2_topic14,Best_HDP2_topic15,Best_HDP2_topic16,Best_HDP2_topic17,Best_HDP2_topic18,Best_HDP2_topic19,Best_HDP2_topic20,Best_HDP2_topic21,Best_HDP2_topic22,Best_HDP2_topic23,Best_HDP2_topic24,Best_HDP2_topic25,Best_HDP2_topic26,Best_HDP2_topic27,Best_HDP2_topic28,Best_HDP2_topic29,Best_HDP2_topic30,Best_HDP2_topic31,Best_HDP2_topic32,Best_HDP2_topic33,Best_HDP2_topic34,Best_HDP2_topic35,Best_HDP2_topic36,Best_HDP2_topic37,Best_HDP2_topic38,Best_HDP2_topic39,Best_HDP2_topic40,Best_HDP2_topic41,Best_HDP2_topic42,Best_HDP2_topic43,Best_HDP2_topic44,Best_HDP2_topic45,Best_HDP2_topic46,Best_HDP2_topic47,Best_HDP2_topic48,Best_HDP2_topic49,Best_HDP2_topic50,Best_HDP2_topic51,Best_HDP2_topic52,Best_HDP2_topic53,Best_HDP2_topic54,Best_HDP2_topic55,Best_HDP2_topic56,Best_HDP2_topic57,Best_HDP2_topic58,Best_HDP2_topic59,Best_HDP2_topic60,Best_HDP2_topic61,Best_HDP2_topic62,Best_HDP2_topic63,Best_HDP2_topic64,Best_HDP2_topic65,Best_HDP2_topic66,Best_HDP2_topic67,Best_HDP2_topic68,Best_HDP2_topic69,Best_HDP2_topic70,Best_HDP2_topic71,Best_HDP2_topic72,Best_HDP2_topic73,Best_HDP2_topic74,Best_HDP2_topic75,Best_HDP2_topic76,Best_HDP2_topic77,Best_HDP2_topic78,Best_HDP2_topic79,Best_HDP2_topic80,Best_HDP2_topic81,Best_HDP2_topic82,Best_HDP2_topic83,Best_HDP2_topic84,Best_HDP2_topic85,Best_HDP2_topic86,Best_HDP2_topic87,Best_HDP2_topic88,Best_HDP2_topic89,Best_HDP2_topic90,Best_HDP2_topic91,Best_HDP2_topic92,Best_HDP2_topic93,Best_HDP2_topic94,Best_HDP2_topic95,Best_HDP2_topic96,Best_HDP2_topic97,Best_HDP2_topic98,Best_HDP2_topic99
3D Systems,3d systems,0.904449492878458,0.001143264154978412,0.00045129601669782965,0.00027342094993473143,0.00015601458734665558,0.00010982017784886281,8.591688868818951e-05,0.00011983338948446336,6.771172347942854e-05,6.473186436279138e-05,8.738138770218186e-05,5.7056082021883653e-05,0.09109282823982623,4.275634695286479e-05,8.403990078176182e-05,6.441226074933214e-05,6.940781284380857e-05,8.275941402574866e-05,7.024455083026835e-05,4.027880800545465e-05,3.2117676959846874e-05,5.011716947393511e-05,4.382732692867213e-05,3.443072828426561e-05,3.4870324016414485e-05,2.8526975014935794e-05,2.4639365713916608e-05,4.7425945999526375e-05,2.8838557565268357e-05,3.813660689598117e-05,5.3720317143254496e-05,2.1443872332937196e-05,1.2306267365509676e-05,3.633366291511556e-05,1.7300661579130587e-05,2.7563022877757408e-05,4.787569963463862e-05,1.968453672694066e-05,2.3062279430504062e-05,1.663064862535186e-05,5.149466031022263e-05,1.6551619498135063e-05,2.2597579940441743e-05,2.7742305701907178e-05,1.573532843883132e-05,2.9812494036502075e-05,1.7089319493530223e-05,1.7996115645190213e-05,1.4197638924888734e-05,1.7080284557090587e-05,8.162917589868824e-06,1.7640015263435102e-05,1.8516990966739985e-05,1.1250332465929406e-05,1.6555629027576412e-05,2.351849587388599e-05,3.336264169103011e-05,3.0026200083791844e-05,3.62243496281954e-05,1.1221200060329873e-05,6.611833541746542e-06,1.1599438901270285e-05,7.622794765771549e-06,1.692052588857403e-05,1.4765731117307807e-05,1.7148647658384092e-05,8.30015974962981e-06,9.887227345763169e-06,1.1764089503073785e-05,9.803099339617855e-06,7.668563189949305e-06,1.0637973943170697e-05,1.1944688091903393e-05,1.0905565671453712e-05,8.501558326874057e-06,7.557936527436892e-06,6.760409161707451e-06,7.674956735751673e-06,4.170401407929075e-06,5.106457314366597e-06,7.457745705371044e-06,5.320096742883159e-06,1.458485986609953e-05,9.667503591133593e-06,1.1435982520655097e-05,4.22410845600817e-06,9.313222731079644e-06,5.062977026027494e-06,5.718142122992178e-06,7.759198992039157e-06,9.702936418475238e-06,5.0513943368935565e-06,2.5817248057687767e-06,2.9098991250304673e-06,2.703218426068894e-06,4.0876222768215385e-06,3.8491306000221145e-06,1.776226383784819e-06,1.740609752901982e-06,1.406142237312403e-06
3M,3m,0.9963295568223973,0.0009215403810276212,0.00036353791913704456,0.00022025207294204747,0.00012567631076002673,8.846477136389996e-05,6.920966677506644e-05,9.653083440725824e-05,5.454464064433575e-05,5.2144238818245745e-05,7.038938231526334e-05,4.596107336424357e-05,7.90023579752439e-05,3.444203544039272e-05,6.769767408622332e-05,5.1886784667782983e-05,5.591091195049878e-05,6.66661881578259e-05,5.658493958470571e-05,3.244627363394738e-05,2.5872139388653095e-05,4.037148751497315e-05,3.5304754847253456e-05,2.7735399497822445e-05,2.8089512345742026e-05,2.2979677977512162e-05,1.984804520561719e-05,3.8203593836268875e-05,2.3230670824328394e-05,3.0720640557429585e-05,4.3273974480486746e-05,1.7273940911848495e-05,9.913215860304767e-06,2.926829336428718e-05,1.3936410421300773e-05,2.2203173995351548e-05,3.8565889302180826e-05,1.5856722098462068e-05,1.8577635885435248e-05,1.3396686811961341e-05,4.14811143092017e-05,1.33330255266924e-05,1.820330090486492e-05,2.2347593849321475e-05,1.2675468752134242e-05,2.4015217607427113e-05,1.3766165484091362e-05,1.4496627916420196e-05,1.1436795186454839e-05,1.3758887462856323e-05,6.5755733818234804e-06,1.420977408435012e-05,1.4916214891533398e-05,9.06261589501343e-06,1.333625537126426e-05,1.894513741517942e-05,2.687501083229449e-05,2.4187366815185547e-05,2.9180236914881886e-05,9.039148517240741e-06,5.326109955601657e-06,9.343835809140684e-06,6.140481734021308e-06,1.3630195137269595e-05,1.1894417336594985e-05,1.381395681572133e-05,6.6861277127539245e-06,7.964577400061962e-06,9.47646879270333e-06,7.896808753400435e-06,6.177350124328809e-06,8.569335354317731e-06,9.621948550452782e-06,8.784891744091625e-06,6.8483627358427296e-06,6.088235695654505e-06,5.445793865312495e-06,6.182500394331008e-06,3.3594337058520115e-06,4.113466101071639e-06,6.00752777530298e-06,4.285561644606834e-06,1.1748717937833644e-05,7.787580675987505e-06,9.212164820964051e-06,3.4026969915433325e-06,7.50219254516139e-06,4.078440900401787e-06,4.606203936702391e-06,6.250361074286449e-06,7.816123308415847e-06,4.069110557234586e-06,2.079687896528105e-06,2.344046110926039e-06,2.1775561166726206e-06,3.2927516347556717e-06,3.100636560153535e-06,1.4308250451779608e-06,1.4021343512679691e-06,1.1327067025893786e-06
A. O. Smith,a. o. smith,0.9933607672444265,0.0016660638439096975,0.000657693491357397,0.00039846835008067796,0.00022736690521841713,0.0001600457649037096,0.000125210452556106,0.0001746384576743215,9.867926631959857e-05,9.433658685058672e-05,0.0001273447312422843,8.315033237487804e-05,0.00014292686926565954,6.231070088027995e-05,0.00012247503570390737,9.387081447811369e-05,0.0001011510517873004,0.00012060892615710594,0.0001023704667772419,5.8700074639420225e-05,4.6806500195648436e-05,7.303795058776485e-05,6.387148700157485e-05,5.017741140458497e-05,5.081805355776921e-05,4.1573612664675614e-05,3.590802901314782e-05,6.911591250764691e-05,4.202769558983033e-05,5.557815094689901e-05,7.828897581912866e-05,3.125109626707791e-05,1.7934463522114485e-05,5.295064155701904e-05,2.521301340071402e-05,4.016880290979068e-05,6.977135821862385e-05,2.868713927575382e-05,3.360967195807843e-05,2.4236574118030592e-05,7.504542843800919e-05,2.4121401502552845e-05,3.2932444996747685e-05,4.0430079637685224e-05,2.2931784716918765e-05,4.344705595292079e-05,2.4905015304109172e-05,2.622652913286925e-05,2.069084230302062e-05,2.489184829471562e-05,1.1896178053130241e-05,2.5707568418209565e-05,2.698562359883912e-05,1.639560325069492e-05,2.4127244765775635e-05,3.427453620318279e-05,4.862084193669512e-05,4.375849915464379e-05,5.2791334506511855e-05,1.635314731746852e-05,9.635715196720438e-06,1.690437138029886e-05,1.1109033356974612e-05,2.465902497569023e-05,2.151874798713509e-05,2.499147684251096e-05,1.2096187075754597e-05,1.440909033590612e-05,1.7144323928397656e-05,1.4286486900389194e-05,1.1175733690187032e-05,1.5503186300641344e-05,1.740751817790564e-05,1.589315947017946e-05,1.2389694061237119e-05,1.1014512599788598e-05,9.852240968290499e-06,1.1185051285081068e-05,6.077708999944292e-06,7.441864353476891e-06,1.0868500117675083e-05,7.753210468737973e-06,2.1255156374776218e-05,1.4088877265175152e-05,1.6666159223149086e-05,6.1559786381738745e-06,1.3572568219344686e-05,7.378498621042524e-06,8.33329947035668e-06,1.1307821222344327e-05,1.4140515079515603e-05,7.3616186598332636e-06,3.76246086469458e-06,4.240723702879697e-06,3.939518849599806e-06,5.957071339218564e-06,5.609506951833743e-06,2.588572663087661e-06,2.5366669837799695e-06,2.0492327943940537e-06
A10 Networks,a10 networks,0.9891680670389208,0.0027193173906814977,0.0010728802003972975,0.0006500122152681709,0.00037089838053578977,0.000261078959391093,0.00020425291901915416,0.00028488368203125443,0.00016097320775527863,0.0001538890950490111,0.00020773451854022405,0.0001356412165140241,0.00023315330036602727,0.00010164600703143061,0.0001997906966935428,0.00015312929133666956,0.0001650053742929804,0.00019674655529510078,0.00016699457779881116,9.575607584655372e-05,7.635436258604579e-05,0.000119145121690563,0.00010419208137850811,8.18532521765227e-05,8.289831692282223e-05,6.781807403121292e-05,5.857593828976425e-05,0.00011274719156560474,6.855880901815858e-05,9.066335384024374e-05,0.00012771099785708104,5.097919147156677e-05,2.9256076075541553e-05,8.637715846535888e-05,4.112940636531349e-05,6.552644032776268e-05,0.0001138164050137842,4.679666765644959e-05,5.482668151556775e-05,3.953656351823815e-05,0.0001224198739369457,3.934868509098098e-05,5.372193681681111e-05,6.59526550187472e-05,3.7408090707528326e-05,7.087417879267007e-05,4.0626976184768505e-05,4.2782731167983457e-05,3.375249311125396e-05,4.0605497146489484e-05,1.9405960468313608e-05,4.193616254163008e-05,4.402102443600081e-05,2.674576886090058e-05,3.935821707130281e-05,5.59112592009106e-05,7.931405635874438e-05,7.138222889361583e-05,8.611728455369928e-05,2.667651147771775e-05,1.571851962507259e-05,2.7575710558690994e-05,1.812190950772636e-05,4.022569784414806e-05,3.5103036529960615e-05,4.07680188951887e-05,1.9732230566913303e-05,2.3505216229457567e-05,2.7967139607741842e-05,2.3305216077114952e-05,1.823071622058511e-05,2.528998970421288e-05,2.8396482307441558e-05,2.5926143927692107e-05,2.021102173261454e-05,1.7967719979863312e-05,1.607173311470711e-05,1.8245915797908677e-05,9.914426302639126e-06,1.213974142023912e-05,1.7729533190533137e-05,1.2647633146282154e-05,3.467304562142093e-05,2.2982860043774267e-05,2.7187120569194e-05,1.0042105755533059e-05,2.2140617023531113e-05,1.2036374364603676e-05,1.3593918935149784e-05,1.8446187560704062e-05,2.3067095617526227e-05,1.2008838473793151e-05,6.137615499511445e-06,6.917794620051904e-06,6.426446100425827e-06,9.717632873305972e-06,9.15065911655317e-06,4.222678791867816e-06,4.138006256182208e-06,3.342866122276882e-06
AAR Corp.,aar corp.,0.9950203321315231,0.001252249903704335,0.000492944956934212,0.0002986542610691222,0.00017041276943534153,0.00011995519755805474,9.384593576554557e-05,0.00013089250255488428,7.396066302268633e-05,7.070580042791516e-05,9.544558959955045e-05,6.232164001994922e-05,0.00010712448935735046,4.6702219446867675e-05,9.179572550783249e-05,7.035670142494748e-05,7.581328008054906e-05,9.039706594638633e-05,7.672723844809281e-05,4.3996034848411066e-05,3.508173416115178e-05,5.474235320917074e-05,4.787203739011935e-05,3.7608251000019234e-05,3.80884158834541e-05,3.115965563595879e-05,2.6913268943942367e-05,5.180276369229839e-05,3.149999333266351e-05,4.165613554821488e-05,5.8678026042435294e-05,2.342287175720342e-05,1.3441980899571463e-05,3.968680253813289e-05,1.889729481649302e-05,3.0106742853292594e-05,5.229402392524565e-05,2.1501171625933605e-05,2.519063745309554e-05,1.8165448102972012e-05,5.6246969106157196e-05,1.8079125582340348e-05,2.4683052050964176e-05,3.0302571224826e-05,1.7187501135889242e-05,3.256381187770919e-05,1.8666448517323732e-05,1.9656930536638585e-05,1.5507902240303935e-05,1.8656579770006345e-05,8.916252107061893e-06,1.9267966573178975e-05,2.0225876092214054e-05,1.2288596503655484e-05,1.8083505140866595e-05,2.5688956930144895e-05,3.6441593462121235e-05,3.2797240302468026e-05,3.956740101115417e-05,1.2256775543814728e-05,7.222022530437853e-06,1.2669921067505086e-05,8.326282746792149e-06,1.8482077387849496e-05,1.6128422189439345e-05,1.8731251924814083e-05,9.066159990202274e-06,1.0799693943262934e-05,1.2849766846798696e-05,1.0707801981375799e-05,8.376275020267787e-06,1.1619724999231489e-05,1.3047032411525568e-05,1.191201207488407e-05,9.286145120389302e-06,8.255438909665893e-06,7.384309809459098e-06,8.383258609848884e-06,4.555276949860649e-06,5.577719030919978e-06,8.146001736189881e-06,5.8110746888316125e-06,1.5930858799029244e-05,1.0559692452543611e-05,1.2491379720979464e-05,4.613940482271368e-06,1.0172715929729237e-05,5.530226059411808e-06,6.245854645878849e-06,8.475275365727832e-06,1.059839528372694e-05,5.51757443390427e-06,2.819985499775176e-06,3.1784461767802064e-06,2.952691451546632e-06,4.4648583471940764e-06,4.204356891388768e-06,1.940149715182267e-06,1.9012461177051005e-06,1.535911461586483e-06
The Aaron's Company,the aaron's company,0.9809847573495931,0.004772187102362407,0.0018836209059996027,0.0011412053250430083,0.0006511742348451796,0.0004583678455809969,0.00035860021298841433,0.0005001610236167609,0.0002826154302404752,0.00027017808375112955,0.00036471274413749885,0.0002381408763483829,0.0004093396734387358,0.0001784565916900051,0.00035076603424546163,0.00026884412106220704,0.0002896945740106996,0.00034542153410764087,0.00029318695396930044,0.0001681158308943864,0.0001340528733564046,0.00020917921868602416,0.0001829266516897876,0.00014370709513112436,0.00014554188134817986,0.0001190659889163023,0.00010283987150624694,0.0001979465806580708,0.00012036647326366076,0.00015917470434929999,0.00022421804913455107,8.950250996396606e-05,5.1363942127606116e-05,0.00015164957040397051,7.22095623089007e-05,0.00011504264208681772,0.00019982376396633617,8.215938880744792e-05,9.625742321502304e-05,6.941305987965158e-05,0.00021492859479617417,6.908320782978182e-05,9.431785884466123e-05,0.00011579093337048603,6.567616932784989e-05,0.00012443149274183474,7.132746196673451e-05,7.511225094230465e-05,5.925815541197048e-05,7.12897519171615e-05,3.407041422271874e-05,7.362595791316482e-05,7.728628219623009e-05,4.695667732003591e-05,6.909994281790353e-05,9.816158101523522e-05,0.00013924911154172357,0.00012532345979563656,0.00015119331822153524,4.6835084382810595e-05,2.759649415284495e-05,4.8413778990968206e-05,3.181604767478517e-05,7.062295062312608e-05,6.162926060803816e-05,7.157508607041942e-05,3.464323603310681e-05,4.1267344362563425e-05,4.910099825340784e-05,4.091621059384088e-05,3.200707608501836e-05,4.440081315829363e-05,4.9854781280336833e-05,4.551768845745025e-05,3.548383412503095e-05,3.154534213090461e-05,2.8216619599382345e-05,3.20337614890348e-05,1.740643610312821e-05,2.131334954637189e-05,3.112716532444821e-05,2.220503854650317e-05,6.087433954191155e-05,4.035026058064558e-05,4.773154417313571e-05,1.7630598769795975e-05,3.8871561877598506e-05,2.113187136557106e-05,2.3866401757689496e-05,3.2385372115403645e-05,4.0498150240356245e-05,2.1083527496818054e-05,1.0775612098642269e-05,1.2145347229667182e-05,1.128270259949213e-05,1.706093227379507e-05,1.6065514872140558e-05,7.4136199444153705e-06,7.264963124836303e-06,5.868961428785404e-06
AB InBev,ab inbev,0.7373461961934008,0.0014434161742921574,0.0005678037203200309,0.0003440079833270587,0.00019629170177171102,0.00013817162847040243,0.00010809740664866687,0.00015076987575983746,8.519235064949502e-05,8.14432036819426e-05,0.00010993998437545862,7.17858222553056e-05,0.00012339244522024059,5.379443196725829e-05,0.00010573585086966162,0.2569979639903265,8.732630666830823e-05,0.00010412479046365308,8.837905901725545e-05,5.067728539485315e-05,4.040925643314572e-05,6.305554276255857e-05,5.51418988009047e-05,4.331945084815019e-05,4.387253370932748e-05,3.589156993146298e-05,3.1000325731169e-05,5.966954633348176e-05,3.6283591408988356e-05,4.798204831178811e-05,6.758888800785904e-05,2.697987582055278e-05,1.54832839974521e-05,4.5713651822575076e-05,2.1767043459842208e-05,3.467876150981971e-05,6.023540948714979e-05,2.476634575287205e-05,2.9016094925084006e-05,2.0924058293243064e-05,6.478865006379459e-05,2.0824626809721273e-05,2.8431427457329206e-05,3.490432843435737e-05,1.9797600017567922e-05,3.7508961745232756e-05,2.150114077507401e-05,2.264203767962999e-05,1.7862936749077243e-05,2.1489773356941532e-05,1.0270276724684318e-05,2.2194005536449982e-05,2.3297383471435423e-05,1.4154746314381433e-05,2.0829671449268968e-05,2.9590089341700307e-05,4.197562435992636e-05,3.7777838677927556e-05,4.5576117945257936e-05,1.4118093014397822e-05,8.318760955710911e-06,1.4593978936522428e-05,9.59071444713765e-06,2.1288770992680435e-05,1.857768903672961e-05,2.157578524672385e-05,1.0442949662211953e-05,1.2439738581568305e-05,1.480113614775123e-05,1.233389187983501e-05,9.648298561687781e-06,1.338429979030328e-05,1.5028358518055395e-05,1.372097366559929e-05,1.0696341797742425e-05,9.50911224446453e-06,8.50569322774976e-06,9.656342681197668e-06,5.247042621819851e-06,6.424753052318396e-06,9.383055910248079e-06,6.6935461677715875e-06,1.8350123612848028e-05,1.2163290395219698e-05,1.438832424959813e-05,5.3146148151888985e-06,1.1717547505994756e-05,6.370047784453646e-06,7.1943519345449205e-06,9.762333128174377e-06,1.2207870649513617e-05,6.355474879446106e-06,3.248229311433401e-06,3.6611259302765938e-06,3.401088027331081e-06,5.1428930240634695e-06,4.842831742015977e-06,2.2347814107294655e-06,2.1899699017143967e-06,1.7691554193060494e-06
Abbott Laboratories,abbott laboratories,0.9891682857364463,0.002719098693173622,0.0010728802003806244,0.0006500122152680877,0.0003708983805357422,0.0002610789593910596,0.000204252919019128,0.00028488368203121795,0.00016097320775525803,0.0001538890950489914,0.00020773451854019743,0.0001356412165140067,0.0002331533003659974,0.00010164600703141759,0.0001997906966935172,0.00015312929133664996,0.00016500537429295925,0.00019674655529507558,0.00016699457779878978,9.575607584654146e-05,7.635436258603602e-05,0.00011914512169054773,0.00010419208137849477,8.185325217651222e-05,8.289831692281162e-05,6.781807403120423e-05,5.857593828975676e-05,0.00011274719156559029,6.85588090181498e-05,9.066335384023212e-05,0.0001277109978570647,5.097919147156024e-05,2.925607607553781e-05,8.637715846534781e-05,4.112940636530822e-05,6.552644032775429e-05,0.00011381640501376963,4.67966676564436e-05,5.482668151556073e-05,3.953656351823309e-05,0.00012241987393693003,3.934868509097594e-05,5.3721936816804235e-05,6.595265501873876e-05,3.7408090707523535e-05,7.087417879266099e-05,4.062697618476331e-05,4.2782731167977975e-05,3.3752493111249646e-05,4.060549714648429e-05,1.9405960468311124e-05,4.1936162541624704e-05,4.402102443599517e-05,2.6745768860897155e-05,3.935821707129777e-05,5.591125920090344e-05,7.931405635873423e-05,7.13822288936067e-05,8.611728455368825e-05,2.6676511477714335e-05,1.5718519625070576e-05,2.7575710558687463e-05,1.812190950772404e-05,4.022569784414291e-05,3.510303652995612e-05,4.076801889518348e-05,1.9732230566910775e-05,2.3505216229454554e-05,2.796713960773826e-05,2.3305216077111967e-05,1.823071622058278e-05,2.528998970420964e-05,2.8396482307437922e-05,2.5926143927688786e-05,2.0211021732611953e-05,1.796771997986101e-05,1.607173311470505e-05,1.8245915797906343e-05,9.914426302637858e-06,1.2139741420237566e-05,1.7729533190530867e-05,1.2647633146280534e-05,3.4673045621416494e-05,2.2982860043771326e-05,2.718712056919052e-05,1.0042105755531773e-05,2.2140617023528277e-05,1.2036374364602135e-05,1.3593918935148045e-05,1.8446187560701697e-05,2.3067095617523273e-05,1.2008838473791613e-05,6.13761549951066e-06,6.917794620051018e-06,6.426446100425004e-06,9.717632873304727e-06,9.150659116552e-06,4.222678791867275e-06,4.138006256181677e-06,3.3428661222764537e-06
AbbVie,abbvie,0.4485848608447142,0.0013559862494165087,0.0005352881171539325,0.0003243081703949308,0.00018505094576473383,0.00013025915153580013,0.00010190714714122306,0.00014213595302483756,8.031376220857587e-05,7.677931227567226e-05,0.00010364420860592217,6.767496629222171e-05,0.00011632630662494661,5.071386320749918e-05,9.968082719780877e-05,7.640022624310116e-05,8.232551602158724e-05,9.816202508276712e-05,8.331798190817525e-05,4.777522180745809e-05,3.809519736753815e-05,5.9444631222824866e-05,5.1984166586104946e-05,4.083873784324376e-05,4.13601480996292e-05,3.383621875428409e-05,2.922507443661271e-05,5.625253580615058e-05,3.420579089880871e-05,4.523432900975121e-05,6.371837187283238e-05,2.5434857878072014e-05,1.4596624928162924e-05,4.3095833536384385e-05,2.0520541328998605e-05,3.269286249708715e-05,5.678599448430431e-05,2.334808686938525e-05,0.5460389103464308,1.9725830187687917e-05,6.107849114818474e-05,1.9632092704654135e-05,2.6803285584324324e-05,3.290551220332629e-05,1.8663879186210393e-05,3.536098970541845e-05,2.0269865712792663e-05,2.134542850685148e-05,1.6840005510761486e-05,2.0259149256328475e-05,9.682143483470802e-06,2.0923053179315294e-05,2.19632455489472e-05,1.3344166711553048e-05,1.9636848460047347e-05,2.7895596036519514e-05,3.957186634360832e-05,3.561446924755091e-05,4.296617561481913e-05,1.3309612383651535e-05,7.842382375569674e-06,1.3758246427630119e-05,9.041496726470855e-06,2.0069657406842533e-05,1.7513827101912614e-05,2.0340235626295048e-05,9.844928206966784e-06,1.1727369872530285e-05,1.3953540663269575e-05,1.1627584542406633e-05,9.0957832539315e-06,1.2617840246119342e-05,1.416775101523133e-05,1.2935234300353293e-05,1.008380969765656e-05,8.964567520371718e-06,8.01860986467143e-06,9.103366722359932e-06,4.946567740112004e-06,6.056835912600567e-06,8.845729873869885e-06,6.3102364373334516e-06,1.7299293341531778e-05,1.1466752648893134e-05,1.3564368673385817e-05,5.010270373374017e-06,1.104653547988152e-05,6.005263373031581e-06,6.7823632768756515e-06,9.203287566073833e-06,1.1508779989555331e-05,5.9915249937223985e-06,3.062217611422777e-06,3.451469470418098e-06,3.2063227859662533e-06,4.848382328340244e-06,4.565504226367065e-06,2.1068053814821682e-06,2.06456002903203e-06,1.6678437274344843e-06
Abercrombie & Fitch,abercrombie & fitch,0.7092927980042318,0.001531449005541999,0.0006045250603624345,0.00036625587230545916,0.00020898639549992722,0.00014710754623732162,0.00011508834644812524,0.00016052055487126684,9.070196103913809e-05,8.671034700820212e-05,0.00011705008845797598,7.642839766391416e-05,0.00013137255485456647,5.7273457478494274e-05,0.00011257406272868247,8.628222802073084e-05,9.297392553127854e-05,0.0001108588108655347,9.409476210651205e-05,5.395471694829328e-05,4.302262790821877e-05,6.713350834139937e-05,5.870806848893306e-05,0.2846507397842512,4.670988431301469e-05,3.821277089712928e-05,3.300519724168156e-05,6.352853073663356e-05,3.863014542089731e-05,5.1085171888958135e-05,7.19600367876906e-05,2.872473440232592e-05,1.6484628152505793e-05,4.867007231232569e-05,2.317477464561e-05,3.692152700763486e-05,6.413098972885747e-05,2.6368049601083985e-05,3.089264108031162e-05,2.2277271440750374e-05,6.897870018919924e-05,2.2171409465165708e-05,3.027016165021197e-05,3.716168193052586e-05,2.1077962185241443e-05,3.993476363660813e-05,2.289167534420353e-05,2.410635701219109e-05,1.901817922274922e-05,2.2879572765642107e-05,1.093448217171603e-05,2.362934946767353e-05,2.4804085716967143e-05,1.5070170489931405e-05,2.217678035464373e-05,3.150375720535921e-05,4.469029691353052e-05,4.022102953827276e-05,4.8523643762263674e-05,1.5031146725922975e-05,8.856756813802822e-06,1.5537809425549705e-05,1.0210970838224364e-05,2.2665571056885492e-05,1.977915639561778e-05,2.2971147267536477e-05,1.1118322316197804e-05,1.3244248756612511e-05,1.5758364031199184e-05,1.3131556674007189e-05,1.0272279066892547e-05,1.424989718984152e-05,1.6000281461830276e-05,1.460834463831764e-05,1.1388101978682621e-05,1.0124091209347624e-05,9.055778480961454e-06,1.0280843420485533e-05,5.5863824841863565e-06,6.840258504369851e-06,9.989882484882701e-06,7.12643516811435e-06,1.95368737252442e-05,1.2949921948672973e-05,1.531885451635054e-05,5.658324746649622e-06,1.247535171010434e-05,6.782015304872766e-06,7.659629343409943e-06,1.039368854471218e-05,1.2997385323697313e-05,6.766499932281874e-06,3.4583007301203645e-06,3.8979004447659786e-06,3.6210452158417034e-06,5.475497261676098e-06,5.156030237863125e-06,2.3793105237926144e-06,2.331600938204206e-06,1.8835712912099168e-06
