run_id,stage,stage_description,model,train_seconds,doc_count,dictionary_size,perplexity,stage_train_seconds,documents,non_empty_docs,total_tokens,avg_tokens,median_tokens,min_tokens,max_tokens,std_tokens,unique_tokens,vocab_size,coherence_c_v,coherence_u_mass,coherence_c_npmi,coherence_c_uci
20250921-205356,tokenized,"Tokenized (lowercased, accent stripped)",LDA,7.114046573638916,3195,4230,1.1601173392110035e+135,242.02311158180237,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.37515281637945436,-1.8228585746362314,0.0026447745382858785,-0.3300976036522637
20250921-205356,tokenized,"Tokenized (lowercased, accent stripped)",HDP1,0.9063589572906494,3195,4230,783.3916440928735,242.02311158180237,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.7085947137184907,-18.597032288865897,-0.42913148633687553,-11.976245658960005
20250921-205356,tokenized,"Tokenized (lowercased, accent stripped)",HDP2,1.4036884307861328,3195,4230,13230.066147197616,242.02311158180237,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.7109770467039046,-18.501269008917777,-0.42293270555415674,-11.809637491288402
20250921-205356,no_numeric,Removed tokens that contain digits,LDA,6.685460329055786,3195,4230,1.1601173392110035e+135,241.05187106132507,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.37515281637945436,-1.8228585746362314,0.0026447745382858785,-0.3300976036522637
20250921-205356,no_numeric,Removed tokens that contain digits,HDP1,1.0096511840820312,3195,4230,783.3916440928735,241.05187106132507,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.7085947137184907,-18.597032288865897,-0.42913148633687553,-11.976245658960005
20250921-205356,no_numeric,Removed tokens that contain digits,HDP2,1.4342479705810547,3195,4230,13230.066147197616,241.05187106132507,3195,3071,309305,100.71800716379029,81.0,0,250,64.07432484109621,21143,4230,0.7109770467039046,-18.501269008917777,-0.42293270555415674,-11.809637491288402
20250921-205356,no_stopwords,Removed default and custom stop words,LDA,4.65956974029541,3195,3973,2.5005984989412487e+257,222.1086196899414,3195,3071,180344,58.72484532725497,48.0,0,161,36.97268512679722,20835,3973,0.4675080098920629,-3.902783268242469,-0.03305188241746162,-2.435909645985114
20250921-205356,no_stopwords,Removed default and custom stop words,HDP1,1.148059606552124,3195,3973,1166.949899425297,222.1086196899414,3195,3071,180344,58.72484532725497,48.0,0,161,36.97268512679722,20835,3973,0.7121276953214086,-18.999006758299412,-0.45304777703630755,-12.672718048447521
20250921-205356,no_stopwords,Removed default and custom stop words,HDP2,1.5534589290618896,3195,3973,164034.2117450852,222.1086196899414,3195,3071,180344,58.72484532725497,48.0,0,161,36.97268512679722,20835,3973,0.7244802472597649,-19.261479005791376,-0.4528988256211668,-12.659184952144981
20250921-205356,pos_filtered,"Removed 38382 tokens via POS/NER filtering (POS=38382, NER=0), docs_modified=3050",LDA,3.6900651454925537,3195,3256,3.335254039674061e+266,218.90132117271423,3195,3071,141962,46.22663627482905,38.0,0,131,29.388542872666477,17826,3256,0.4972628795673688,-4.207731627578328,-0.05002915755192719,-2.7603203629381374
