run_id,stage,model,topic_index,word_rank,word
20250921-205356,tokenized,LDA,0,1,is
20250921-205356,tokenized,LDA,0,2,has
20250921-205356,tokenized,LDA,0,3,in
20250921-205356,tokenized,LDA,0,4,it
20250921-205356,tokenized,LDA,0,5,and
20250921-205356,tokenized,LDA,0,6,the
20250921-205356,tokenized,LDA,0,7,of
20250921-205356,tokenized,LDA,0,8,more
20250921-205356,tokenized,LDA,0,9,than
20250921-205356,tokenized,LDA,0,10,million
20250921-205356,tokenized,LDA,0,11,world
20250921-205356,tokenized,LDA,0,12,since
20250921-205356,tokenized,LDA,0,13,employees
20250921-205356,tokenized,LDA,0,14,company
20250921-205356,tokenized,LDA,0,15,largest
20250921-205356,tokenized,LDA,0,16,over
20250921-205356,tokenized,LDA,0,17,us
20250921-205356,tokenized,LDA,0,18,people
20250921-205356,tokenized,LDA,0,19,approximately
20250921-205356,tokenized,LDA,0,20,countries
20250921-205356,tokenized,LDA,0,21,worldwide
20250921-205356,tokenized,LDA,0,22,with
20250921-205356,tokenized,LDA,0,23,one
20250921-205356,tokenized,LDA,0,24,as
20250921-205356,tokenized,LDA,0,25,sales
20250921-205356,tokenized,LDA,0,26,about
20250921-205356,tokenized,LDA,0,27,across
20250921-205356,tokenized,LDA,0,28,around
20250921-205356,tokenized,LDA,0,29,dallas
20250921-205356,tokenized,LDA,0,30,asia
20250921-205356,tokenized,LDA,0,31,an
20250921-205356,tokenized,LDA,0,32,also
20250921-205356,tokenized,LDA,0,33,japan
20250921-205356,tokenized,LDA,0,34,employs
20250921-205356,tokenized,LDA,0,35,headquartered
20250921-205356,tokenized,LDA,0,36,leading
20250921-205356,tokenized,LDA,0,37,been
20250921-205356,tokenized,LDA,0,38,japanese
20250921-205356,tokenized,LDA,0,39,smith
20250921-205356,tokenized,LDA,0,40,are
20250921-205356,tokenized,LDA,0,41,international
20250921-205356,tokenized,LDA,0,42,wisconsin
20250921-205356,tokenized,LDA,0,43,delivery
20250921-205356,tokenized,LDA,0,44,based
20250921-205356,tokenized,LDA,0,45,multinational
20250921-205356,tokenized,LDA,0,46,had
20250921-205356,tokenized,LDA,0,47,by
20250921-205356,tokenized,LDA,0,48,operates
20250921-205356,tokenized,LDA,0,49,europe
20250921-205356,tokenized,LDA,0,50,customers
20250921-205356,tokenized,LDA,1,1,in
20250921-205356,tokenized,LDA,1,2,and
20250921-205356,tokenized,LDA,1,3,is
20250921-205356,tokenized,LDA,1,4,service
20250921-205356,tokenized,LDA,1,5,an
20250921-205356,tokenized,LDA,1,6,california
20250921-205356,tokenized,LDA,1,7,company
20250921-205356,tokenized,LDA,1,8,inc
20250921-205356,tokenized,LDA,1,9,american
20250921-205356,tokenized,LDA,1,10,headquartered
20250921-205356,tokenized,LDA,1,11,based
20250921-205356,tokenized,LDA,1,12,city
20250921-205356,tokenized,LDA,1,13,customers
20250921-205356,tokenized,LDA,1,14,founded
20250921-205356,tokenized,LDA,1,15,san
20250921-205356,tokenized,LDA,1,16,as
20250921-205356,tokenized,LDA,1,17,with
20250921-205356,tokenized,LDA,1,18,headquarters
20250921-205356,tokenized,LDA,1,19,provider
20250921-205356,tokenized,LDA,1,20,jersey
20250921-205356,tokenized,LDA,1,21,chicago
20250921-205356,tokenized,LDA,1,22,business
20250921-205356,tokenized,LDA,1,23,new
20250921-205356,tokenized,LDA,1,24,offices
20250921-205356,tokenized,LDA,1,25,million
20250921-205356,tokenized,LDA,1,26,massachusetts
20250921-205356,tokenized,LDA,1,27,serves
20250921-205356,tokenized,LDA,1,28,approximately
20250921-205356,tokenized,LDA,1,29,paper
20250921-205356,tokenized,LDA,1,30,over
20250921-205356,tokenized,LDA,1,31,los
20250921-205356,tokenized,LDA,1,32,angeles
20250921-205356,tokenized,LDA,1,33,it
20250921-205356,tokenized,LDA,1,34,francisco
20250921-205356,tokenized,LDA,1,35,georgia
20250921-205356,tokenized,LDA,1,36,its
20250921-205356,tokenized,LDA,1,37,valley
20250921-205356,tokenized,LDA,1,38,of
20250921-205356,tokenized,LDA,1,39,additional
20250921-205356,tokenized,LDA,1,40,located
20250921-205356,tokenized,LDA,1,41,packaging
20250921-205356,tokenized,LDA,1,42,payment
20250921-205356,tokenized,LDA,1,43,that
20250921-205356,tokenized,LDA,1,44,pacific
20250921-205356,tokenized,LDA,1,45,logistics
20250921-205356,tokenized,LDA,1,46,illinois
20250921-205356,tokenized,LDA,1,47,provides
20250921-205356,tokenized,LDA,1,48,boston
20250921-205356,tokenized,LDA,1,49,denver
20250921-205356,tokenized,LDA,1,50,billion
20250921-205356,tokenized,LDA,2,1,the
20250921-205356,tokenized,LDA,2,2,of
20250921-205356,tokenized,LDA,2,3,and
20250921-205356,tokenized,LDA,2,4,in
20250921-205356,tokenized,LDA,2,5,to
20250921-205356,tokenized,LDA,2,6,for
20250921-205356,tokenized,LDA,2,7,is
20250921-205356,tokenized,LDA,2,8,at
20250921-205356,tokenized,LDA,2,9,city
20250921-205356,tokenized,LDA,2,10,was
20250921-205356,tokenized,LDA,2,11,online
20250921-205356,tokenized,LDA,2,12,it
20250921-205356,tokenized,LDA,2,13,all
20250921-205356,tokenized,LDA,2,14,university
20250921-205356,tokenized,LDA,2,15,school
20250921-205356,tokenized,LDA,2,16,as
20250921-205356,tokenized,LDA,2,17,an
20250921-205356,tokenized,LDA,2,18,its
20250921-205356,tokenized,LDA,2,19,hill
20250921-205356,tokenized,LDA,2,20,light
20250921-205356,tokenized,LDA,2,21,kansas
20250921-205356,tokenized,LDA,2,22,through
20250921-205356,tokenized,LDA,2,23,not
20250921-205356,tokenized,LDA,2,24,on
20250921-205356,tokenized,LDA,2,25,which
20250921-205356,tokenized,LDA,2,26,education
20250921-205356,tokenized,LDA,2,27,professional
20250921-205356,tokenized,LDA,2,28,area
20250921-205356,tokenized,LDA,2,29,company
20250921-205356,tokenized,LDA,2,30,district
20250921-205356,tokenized,LDA,2,31,island
20250921-205356,tokenized,LDA,2,32,advertising
20250921-205356,tokenized,LDA,2,33,white
20250921-205356,tokenized,LDA,2,34,rights
20250921-205356,tokenized,LDA,2,35,programs
20250921-205356,tokenized,LDA,2,36,utility
20250921-205356,tokenized,LDA,2,37,from
20250921-205356,tokenized,LDA,2,38,one
20250921-205356,tokenized,LDA,2,39,long
20250921-205356,tokenized,LDA,2,40,club
20250921-205356,tokenized,LDA,2,41,different
20250921-205356,tokenized,LDA,2,42,law
20250921-205356,tokenized,LDA,2,43,metropolitan
20250921-205356,tokenized,LDA,2,44,public
20250921-205356,tokenized,LDA,2,45,league
20250921-205356,tokenized,LDA,2,46,publishing
20250921-205356,tokenized,LDA,2,47,community
20250921-205356,tokenized,LDA,2,48,team
20250921-205356,tokenized,LDA,2,49,students
20250921-205356,tokenized,LDA,2,50,learning
20250921-205356,tokenized,LDA,3,1,the
20250921-205356,tokenized,LDA,3,2,of
20250921-205356,tokenized,LDA,3,3,in
20250921-205356,tokenized,LDA,3,4,is
20250921-205356,tokenized,LDA,3,5,from
20250921-205356,tokenized,LDA,3,6,on
20250921-205356,tokenized,LDA,3,7,with
20250921-205356,tokenized,LDA,3,8,to
20250921-205356,tokenized,LDA,3,9,home
20250921-205356,tokenized,LDA,3,10,and
20250921-205356,tokenized,LDA,3,11,by
20250921-205356,tokenized,LDA,3,12,second
20250921-205356,tokenized,LDA,3,13,it
20250921-205356,tokenized,LDA,3,14,company
20250921-205356,tokenized,LDA,3,15,was
20250921-205356,tokenized,LDA,3,16,state
20250921-205356,tokenized,LDA,3,17,its
20250921-205356,tokenized,LDA,3,18,co
20250921-205356,tokenized,LDA,3,19,that
20250921-205356,tokenized,LDA,3,20,as
20250921-205356,tokenized,LDA,3,21,founder
20250921-205356,tokenized,LDA,3,22,homes
20250921-205356,tokenized,LDA,3,23,initial
20250921-205356,tokenized,LDA,3,24,each
20250921-205356,tokenized,LDA,3,25,title
20250921-205356,tokenized,LDA,3,26,cost
20250921-205356,tokenized,LDA,3,27,largest
20250921-205356,tokenized,LDA,3,28,were
20250921-205356,tokenized,LDA,3,29,grew
20250921-205356,tokenized,LDA,3,30,level
20250921-205356,tokenized,LDA,3,31,atlanta
20250921-205356,tokenized,LDA,3,32,added
20250921-205356,tokenized,LDA,3,33,an
20250921-205356,tokenized,LDA,3,34,after
20250921-205356,tokenized,LDA,3,35,expanded
20250921-205356,tokenized,LDA,3,36,project
20250921-205356,tokenized,LDA,3,37,currently
20250921-205356,tokenized,LDA,3,38,group
20250921-205356,tokenized,LDA,3,39,associated
20250921-205356,tokenized,LDA,3,40,november
20250921-205356,tokenized,LDA,3,41,federal
20250921-205356,tokenized,LDA,3,42,manager
20250921-205356,tokenized,LDA,3,43,states
20250921-205356,tokenized,LDA,3,44,money
20250921-205356,tokenized,LDA,3,45,michael
20250921-205356,tokenized,LDA,3,46,first
20250921-205356,tokenized,LDA,3,47,together
20250921-205356,tokenized,LDA,3,48,while
20250921-205356,tokenized,LDA,3,49,public
20250921-205356,tokenized,LDA,3,50,this
20250921-205356,tokenized,LDA,4,1,and
20250921-205356,tokenized,LDA,4,2,products
20250921-205356,tokenized,LDA,4,3,brand
20250921-205356,tokenized,LDA,4,4,brands
20250921-205356,tokenized,LDA,4,5,company
20250921-205356,tokenized,LDA,4,6,american
20250921-205356,tokenized,LDA,4,7,in
20250921-205356,tokenized,LDA,4,8,an
20250921-205356,tokenized,LDA,4,9,are
20250921-205356,tokenized,LDA,4,10,is
20250921-205356,tokenized,LDA,4,11,its
20250921-205356,tokenized,LDA,4,12,of
20250921-205356,tokenized,LDA,4,13,consumer
20250921-205356,tokenized,LDA,4,14,include
20250921-205356,tokenized,LDA,4,15,markets
20250921-205356,tokenized,LDA,4,16,the
20250921-205356,tokenized,LDA,4,17,manufacturer
20250921-205356,tokenized,LDA,4,18,other
20250921-205356,tokenized,LDA,4,19,food
20250921-205356,tokenized,LDA,4,20,for
20250921-205356,tokenized,LDA,4,21,under
20250921-205356,tokenized,LDA,4,22,inc
20250921-205356,tokenized,LDA,4,23,such
20250921-205356,tokenized,LDA,4,24,as
20250921-205356,tokenized,LDA,4,25,wide
20250921-205356,tokenized,LDA,4,26,founded
20250921-205356,tokenized,LDA,4,27,range
20250921-205356,tokenized,LDA,4,28,including
20250921-205356,tokenized,LDA,4,29,sold
20250921-205356,tokenized,LDA,4,30,based
20250921-205356,tokenized,LDA,4,31,marketed
20250921-205356,tokenized,LDA,4,32,manufacturing
20250921-205356,tokenized,LDA,4,33,produces
20250921-205356,tokenized,LDA,4,34,also
20250921-205356,tokenized,LDA,4,35,best
20250921-205356,tokenized,LDA,4,36,accessories
20250921-205356,tokenized,LDA,4,37,michigan
20250921-205356,tokenized,LDA,4,38,shoes
20250921-205356,tokenized,LDA,4,39,footwear
20250921-205356,tokenized,LDA,4,40,goods
20250921-205356,tokenized,LDA,4,41,manufactures
20250921-205356,tokenized,LDA,4,42,manufactured
20250921-205356,tokenized,LDA,4,43,specialty
20250921-205356,tokenized,LDA,4,44,minnesota
20250921-205356,tokenized,LDA,4,45,apparel
20250921-205356,tokenized,LDA,4,46,electronics
20250921-205356,tokenized,LDA,4,47,headquartered
20250921-205356,tokenized,LDA,4,48,multinational
20250921-205356,tokenized,LDA,4,49,various
20250921-205356,tokenized,LDA,4,50,known
20250921-205356,tokenized,LDA,5,1,was
20250921-205356,tokenized,LDA,5,2,in
20250921-205356,tokenized,LDA,5,3,company
20250921-205356,tokenized,LDA,5,4,to
20250921-205356,tokenized,LDA,5,5,by
20250921-205356,tokenized,LDA,5,6,it
20250921-205356,tokenized,LDA,5,7,acquired
20250921-205356,tokenized,LDA,5,8,the
20250921-205356,tokenized,LDA,5,9,its
20250921-205356,tokenized,LDA,5,10,name
20250921-205356,tokenized,LDA,5,11,an
20250921-205356,tokenized,LDA,5,12,inc
20250921-205356,tokenized,LDA,5,13,off
20250921-205356,tokenized,LDA,5,14,announced
20250921-205356,tokenized,LDA,5,15,and
20250921-205356,tokenized,LDA,5,16,as
20250921-205356,tokenized,LDA,5,17,american
20250921-205356,tokenized,LDA,5,18,became
20250921-205356,tokenized,LDA,5,19,founded
20250921-205356,tokenized,LDA,5,20,until
20250921-205356,tokenized,LDA,5,21,had
20250921-205356,tokenized,LDA,5,22,of
20250921-205356,tokenized,LDA,5,23,from
20250921-205356,tokenized,LDA,5,24,merged
20250921-205356,tokenized,LDA,5,25,sold
20250921-205356,tokenized,LDA,5,26,corporation
20250921-205356,tokenized,LDA,5,27,when
20250921-205356,tokenized,LDA,5,28,after
20250921-205356,tokenized,LDA,5,29,april
20250921-205356,tokenized,LDA,5,30,that
20250921-205356,tokenized,LDA,5,31,acquisition
20250921-205356,tokenized,LDA,5,32,purchased
20250921-205356,tokenized,LDA,5,33,on
20250921-205356,tokenized,LDA,5,34,would
20250921-205356,tokenized,LDA,5,35,january
20250921-205356,tokenized,LDA,5,36,july
20250921-205356,tokenized,LDA,5,37,then
20250921-205356,tokenized,LDA,5,38,may
20250921-205356,tokenized,LDA,5,39,october
20250921-205356,tokenized,LDA,5,40,with
20250921-205356,tokenized,LDA,5,41,formed
20250921-205356,tokenized,LDA,5,42,renamed
20250921-205356,tokenized,LDA,5,43,august
20250921-205356,tokenized,LDA,5,44,which
20250921-205356,tokenized,LDA,5,45,february
20250921-205356,tokenized,LDA,5,46,november
20250921-205356,tokenized,LDA,5,47,changed
20250921-205356,tokenized,LDA,5,48,spun
20250921-205356,tokenized,LDA,5,49,parent
20250921-205356,tokenized,LDA,5,50,business
20250921-205356,tokenized,LDA,6,1,the
20250921-205356,tokenized,LDA,6,2,of
20250921-205356,tokenized,LDA,6,3,in
20250921-205356,tokenized,LDA,6,4,at
20250921-205356,tokenized,LDA,6,5,was
20250921-205356,tokenized,LDA,6,6,to
20250921-205356,tokenized,LDA,6,7,as
20250921-205356,tokenized,LDA,6,8,by
20250921-205356,tokenized,LDA,6,9,and
20250921-205356,tokenized,LDA,6,10,first
20250921-205356,tokenized,LDA,6,11,into
20250921-205356,tokenized,LDA,6,12,which
20250921-205356,tokenized,LDA,6,13,his
20250921-205356,tokenized,LDA,6,14,network
20250921-205356,tokenized,LDA,6,15,with
20250921-205356,tokenized,LDA,6,16,bell
20250921-205356,tokenized,LDA,6,17,he
20250921-205356,tokenized,LDA,6,18,communications
20250921-205356,tokenized,LDA,6,19,its
20250921-205356,tokenized,LDA,6,20,mobile
20250921-205356,tokenized,LDA,6,21,after
20250921-205356,tokenized,LDA,6,22,wireless
20250921-205356,tokenized,LDA,6,23,during
20250921-205356,tokenized,LDA,6,24,promotion
20250921-205356,tokenized,LDA,6,25,telephone
20250921-205356,tokenized,LDA,6,26,former
20250921-205356,tokenized,LDA,6,27,local
20250921-205356,tokenized,LDA,6,28,telecommunications
20250921-205356,tokenized,LDA,6,29,it
20250921-205356,tokenized,LDA,6,30,were
20250921-205356,tokenized,LDA,6,31,until
20250921-205356,tokenized,LDA,6,32,union
20250921-205356,tokenized,LDA,6,33,bought
20250921-205356,tokenized,LDA,6,34,between
20250921-205356,tokenized,LDA,6,35,major
20250921-205356,tokenized,LDA,6,36,operating
20250921-205356,tokenized,LDA,6,37,de
20250921-205356,tokenized,LDA,6,38,who
20250921-205356,tokenized,LDA,6,39,deal
20250921-205356,tokenized,LDA,6,40,operator
20250921-205356,tokenized,LDA,6,41,moved
20250921-205356,tokenized,LDA,6,42,eventually
20250921-205356,tokenized,LDA,6,43,served
20250921-205356,tokenized,LDA,6,44,also
20250921-205356,tokenized,LDA,6,45,began
20250921-205356,tokenized,LDA,6,46,brazilian
20250921-205356,tokenized,LDA,6,47,original
20250921-205356,tokenized,LDA,6,48,cable
20250921-205356,tokenized,LDA,6,49,much
20250921-205356,tokenized,LDA,6,50,labor
20250921-205356,tokenized,LDA,7,1,in
20250921-205356,tokenized,LDA,7,2,the
20250921-205356,tokenized,LDA,7,3,and
20250921-205356,tokenized,LDA,7,4,stores
20250921-205356,tokenized,LDA,7,5,is
20250921-205356,tokenized,LDA,7,6,retail
20250921-205356,tokenized,LDA,7,7,it
20250921-205356,tokenized,LDA,7,8,company
20250921-205356,tokenized,LDA,7,9,chain
20250921-205356,tokenized,LDA,7,10,st
20250921-205356,tokenized,LDA,7,11,store
20250921-205356,tokenized,LDA,7,12,operated
20250921-205356,tokenized,LDA,7,13,china
20250921-205356,tokenized,LDA,7,14,limited
20250921-205356,tokenized,LDA,7,15,its
20250921-205356,tokenized,LDA,7,16,as
20250921-205356,tokenized,LDA,7,17,of
20250921-205356,tokenized,LDA,7,18,an
20250921-205356,tokenized,LDA,7,19,chinese
20250921-205356,tokenized,LDA,7,20,american
20250921-205356,tokenized,LDA,7,21,operates
20250921-205356,tokenized,LDA,7,22,locations
20250921-205356,tokenized,LDA,7,23,retailer
20250921-205356,tokenized,LDA,7,24,also
20250921-205356,tokenized,LDA,7,25,ltd
20250921-205356,tokenized,LDA,7,26,main
20250921-205356,tokenized,LDA,7,27,missouri
20250921-205356,tokenized,LDA,7,28,branded
20250921-205356,tokenized,LDA,7,29,louis
20250921-205356,tokenized,LDA,7,30,co
20250921-205356,tokenized,LDA,7,31,sells
20250921-205356,tokenized,LDA,7,32,with
20250921-205356,tokenized,LDA,7,33,food
20250921-205356,tokenized,LDA,7,34,states
20250921-205356,tokenized,LDA,7,35,over
20250921-205356,tokenized,LDA,7,36,business
20250921-205356,tokenized,LDA,7,37,restaurant
20250921-205356,tokenized,LDA,7,38,that
20250921-205356,tokenized,LDA,7,39,restaurants
20250921-205356,tokenized,LDA,7,40,india
20250921-205356,tokenized,LDA,7,41,sales
20250921-205356,tokenized,LDA,7,42,across
20250921-205356,tokenized,LDA,7,43,distributes
20250921-205356,tokenized,LDA,7,44,stylized
20250921-205356,tokenized,LDA,7,45,names
20250921-205356,tokenized,LDA,7,46,dollar
20250921-205356,tokenized,LDA,7,47,headquartered
20250921-205356,tokenized,LDA,7,48,largest
20250921-205356,tokenized,LDA,7,49,by
20250921-205356,tokenized,LDA,7,50,holdings
20250921-205356,tokenized,LDA,8,1,the
20250921-205356,tokenized,LDA,8,2,in
20250921-205356,tokenized,LDA,8,3,and
20250921-205356,tokenized,LDA,8,4,of
20250921-205356,tokenized,LDA,8,5,company
20250921-205356,tokenized,LDA,8,6,mine
20250921-205356,tokenized,LDA,8,7,foods
20250921-205356,tokenized,LDA,8,8,canadian
20250921-205356,tokenized,LDA,8,9,is
20250921-205356,tokenized,LDA,8,10,gold
20250921-205356,tokenized,LDA,8,11,producer
20250921-205356,tokenized,LDA,8,12,from
20250921-205356,tokenized,LDA,8,13,lake
20250921-205356,tokenized,LDA,8,14,mining
20250921-205356,tokenized,LDA,8,15,development
20250921-205356,tokenized,LDA,8,16,by
20250921-205356,tokenized,LDA,8,17,four
20250921-205356,tokenized,LDA,8,18,mines
20250921-205356,tokenized,LDA,8,19,canada
20250921-205356,tokenized,LDA,8,20,three
20250921-205356,tokenized,LDA,8,21,toronto
20250921-205356,tokenized,LDA,8,22,production
20250921-205356,tokenized,LDA,8,23,being
20250921-205356,tokenized,LDA,8,24,also
20250921-205356,tokenized,LDA,8,25,to
20250921-205356,tokenized,LDA,8,26,martin
20250921-205356,tokenized,LDA,8,27,columbia
20250921-205356,tokenized,LDA,8,28,british
20250921-205356,tokenized,LDA,8,29,philadelphia
20250921-205356,tokenized,LDA,8,30,produced
20250921-205356,tokenized,LDA,8,31,it
20250921-205356,tokenized,LDA,8,32,its
20250921-205356,tokenized,LDA,8,33,east
20250921-205356,tokenized,LDA,8,34,old
20250921-205356,tokenized,LDA,8,35,other
20250921-205356,tokenized,LDA,8,36,creek
20250921-205356,tokenized,LDA,8,37,via
20250921-205356,tokenized,LDA,8,38,operation
20250921-205356,tokenized,LDA,8,39,with
20250921-205356,tokenized,LDA,8,40,was
20250921-205356,tokenized,LDA,8,41,one
20250921-205356,tokenized,LDA,8,42,peak
20250921-205356,tokenized,LDA,8,43,came
20250921-205356,tokenized,LDA,8,44,major
20250921-205356,tokenized,LDA,8,45,metals
20250921-205356,tokenized,LDA,8,46,morris
20250921-205356,tokenized,LDA,8,47,philip
20250921-205356,tokenized,LDA,8,48,copper
20250921-205356,tokenized,LDA,8,49,ontario
20250921-205356,tokenized,LDA,8,50,silver
