run_id,stage,model,topic_index,metric,score
20250921-205356,tokenized,LDA,0,c_v,0.43075028224214157
20250921-205356,tokenized,LDA,1,c_v,0.41296177675061374
20250921-205356,tokenized,LDA,2,c_v,0.2997515264833742
20250921-205356,tokenized,LDA,3,c_v,0.2976542219407145
20250921-205356,tokenized,LDA,4,c_v,0.4020194486221883
20250921-205356,tokenized,LDA,5,c_v,0.3823846521141146
20250921-205356,tokenized,LDA,6,c_v,0.27084650333507876
20250921-205356,tokenized,LDA,7,c_v,0.3662837885330368
20250921-205356,tokenized,LDA,8,c_v,0.3350907950849953
20250921-205356,tokenized,LDA,9,c_v,0.30778474405560974
20250921-205356,tokenized,LDA,10,c_v,0.2775022293127837
20250921-205356,tokenized,LDA,11,c_v,0.5463326405565896
20250921-205356,tokenized,LDA,12,c_v,0.2678871928238712
20250921-205356,tokenized,LDA,13,c_v,0.340467079851023
20250921-205356,tokenized,LDA,14,c_v,0.37746184461585564
20250921-205356,tokenized,LDA,15,c_v,0.3457726085268739
20250921-205356,tokenized,LDA,16,c_v,0.37012420487002873
20250921-205356,tokenized,LDA,17,c_v,0.38887946016481595
20250921-205356,tokenized,LDA,18,c_v,0.4241671114128242
20250921-205356,tokenized,LDA,19,c_v,0.3625153924606671
20250921-205356,tokenized,LDA,20,c_v,0.3483839846806991
20250921-205356,tokenized,LDA,21,c_v,0.35101315015426393
20250921-205356,tokenized,LDA,22,c_v,0.5062600450444221
20250921-205356,tokenized,LDA,23,c_v,0.5060693118603361
20250921-205356,tokenized,LDA,24,c_v,0.46045641398943804
20250921-205356,tokenized,LDA,0,u_mass,-1.5868856561392384
20250921-205356,tokenized,LDA,1,u_mass,-1.7273490425589602
20250921-205356,tokenized,LDA,2,u_mass,-2.4047214301580477
20250921-205356,tokenized,LDA,3,u_mass,-1.1350684469035046
20250921-205356,tokenized,LDA,4,u_mass,-1.3673579131545122
20250921-205356,tokenized,LDA,5,u_mass,-1.1788314844152326
20250921-205356,tokenized,LDA,6,u_mass,-2.2089643818759575
20250921-205356,tokenized,LDA,7,u_mass,-1.6114876074871114
20250921-205356,tokenized,LDA,8,u_mass,-2.763768403752367
20250921-205356,tokenized,LDA,9,u_mass,-2.684391321663188
20250921-205356,tokenized,LDA,10,u_mass,-1.9303126536134492
20250921-205356,tokenized,LDA,11,u_mass,-1.4173002268729575
20250921-205356,tokenized,LDA,12,u_mass,-1.6266066035516888
20250921-205356,tokenized,LDA,13,u_mass,-1.5153713059962055
20250921-205356,tokenized,LDA,14,u_mass,-1.3598811393628674
20250921-205356,tokenized,LDA,15,u_mass,-1.7133670367703064
20250921-205356,tokenized,LDA,16,u_mass,-1.2917122452845415
20250921-205356,tokenized,LDA,17,u_mass,-1.9295471379587696
20250921-205356,tokenized,LDA,18,u_mass,-1.9041983375863023
20250921-205356,tokenized,LDA,19,u_mass,-2.0589349541799242
20250921-205356,tokenized,LDA,20,u_mass,-2.2417052974474316
20250921-205356,tokenized,LDA,21,u_mass,-1.7708763934622864
20250921-205356,tokenized,LDA,22,u_mass,-2.0181404513737213
20250921-205356,tokenized,LDA,23,u_mass,-2.287336991219077
20250921-205356,tokenized,LDA,24,u_mass,-1.8373479031181315
20250921-205356,tokenized,LDA,0,c_npmi,0.03713968409561282
20250921-205356,tokenized,LDA,1,c_npmi,0.03395750189178809
20250921-205356,tokenized,LDA,2,c_npmi,-0.04272208174527462
20250921-205356,tokenized,LDA,3,c_npmi,-0.03000719972524635
20250921-205356,tokenized,LDA,4,c_npmi,0.00816368836086588
20250921-205356,tokenized,LDA,5,c_npmi,0.003079740941059717
20250921-205356,tokenized,LDA,6,c_npmi,-0.03324725809338742
20250921-205356,tokenized,LDA,7,c_npmi,-0.00618722779865843
20250921-205356,tokenized,LDA,8,c_npmi,-0.02233747857549775
20250921-205356,tokenized,LDA,9,c_npmi,-0.04192452280091896
20250921-205356,tokenized,LDA,10,c_npmi,-0.021405837110608724
20250921-205356,tokenized,LDA,11,c_npmi,0.08840051831829521
20250921-205356,tokenized,LDA,12,c_npmi,-0.035056851179356044
20250921-205356,tokenized,LDA,13,c_npmi,-0.011371197194514224
20250921-205356,tokenized,LDA,14,c_npmi,0.008480955408911105
20250921-205356,tokenized,LDA,15,c_npmi,-0.014173452144272281
20250921-205356,tokenized,LDA,16,c_npmi,0.023735230622352922
20250921-205356,tokenized,LDA,17,c_npmi,0.0022863679026865935
20250921-205356,tokenized,LDA,18,c_npmi,0.011512913423738795
20250921-205356,tokenized,LDA,19,c_npmi,0.032874589967626794
20250921-205356,tokenized,LDA,20,c_npmi,-0.010658955636829785
20250921-205356,tokenized,LDA,21,c_npmi,-0.007441050437349292
